ZIP,returns,total,farmers
92264,8900.0,588234.0,0.0
92270,7650.0,907806.0,0.0
92274,7330.0,194850.0,40.0
92276,3200.0,114661.0,0.0
92277,8310.0,334757.0,0.0
92281,890.0,28849.0,0.0
92282,350.0,11722.0,0.0
92283,1030.0,28846.0,0.0
92284,8800.0,377365.0,0.0
92285,640.0,18905.0,0.0
92301,10900.0,331463.0,0.0
92305,270.0,14230.0,0.0
92307,15720.0,810167.0,30.0
92308,14900.0,721128.0,30.0
92309,280.0,7363.0,0.0
92310,2770.0,118858.0,0.0
92311,11380.0,460594.0,0.0
92313,5590.0,306648.0,0.0
92314,3440.0,156205.0,0.0
92315,3410.0,174528.0,0.0
92316,12750.0,418863.0,0.0
92320,3670.0,187654.0,0.0
92324,23540.0,865067.0,0.0
92327,210.0,7873.0,0.0
92328,200.0,6890.0,0.0
92335,37770.0,1160442.0,0.0
92336,37860.0,2018527.0,0.0
92337,15870.0,690454.0,0.0
92339,470.0,28315.0,0.0
